currency;code;no;effectiveDate;mid
dolar amerykański;USD;1/A/NBP/2012;2012-01-02;3.4454
dolar amerykański;USD;2/A/NBP/2012;2012-01-03;3.4277
dolar amerykański;USD;3/A/NBP/2012;2012-01-04;3.432
dolar amerykański;USD;4/A/NBP/2012;2012-01-05;3.5081
dolar amerykański;USD;5/A/NBP/2012;2012-01-09;3.515
dolar amerykański;USD;6/A/NBP/2012;2012-01-10;3.5083
dolar amerykański;USD;7/A/NBP/2012;2012-01-11;3.4919
dolar amerykański;USD;8/A/NBP/2012;2012-01-12;3.4945
dolar amerykański;USD;9/A/NBP/2012;2012-01-13;3.4323
dolar amerykański;USD;10/A/NBP/2012;2012-01-16;3.4798
dolar amerykański;USD;11/A/NBP/2012;2012-01-17;3.4215
dolar amerykański;USD;12/A/NBP/2012;2012-01-18;3.4
dolar amerykański;USD;13/A/NBP/2012;2012-01-19;3.3678
dolar amerykański;USD;14/A/NBP/2012;2012-01-20;3.3537
dolar amerykański;USD;15/A/NBP/2012;2012-01-23;3.3353
dolar amerykański;USD;16/A/NBP/2012;2012-01-24;3.297
dolar amerykański;USD;17/A/NBP/2012;2012-01-25;3.299
dolar amerykański;USD;18/A/NBP/2012;2012-01-26;3.2233
dolar amerykański;USD;19/A/NBP/2012;2012-01-27;3.2163
dolar amerykański;USD;20/A/NBP/2012;2012-01-30;3.2433
dolar amerykański;USD;21/A/NBP/2012;2012-01-31;3.2032
